model,min connections,accuracy,precision,recall,f1_score
Ensemble RF + CNN-RNN,300,0.9636878385032004,0.96,0.96,0.96
Packet CNN-RNN,300,0.8564746430329887,0.88,0.86,0.86
Ensemble CNN-RNN,300,0.8897095027080256,0.9,0.89,0.89
IAT CNN-RNN,400,0.7756207674943567,0.78,0.78,0.77
Random Forest,400,0.9562076749435666,0.96,0.96,0.96
Baseline RNN,400,0.8507148231753198,0.87,0.85,0.85
Payload CNN-RNN,400,0.8767494356659142,0.89,0.88,0.88
Ensemble RF + CNN-RNN,400,0.9676448457486833,0.97,0.97,0.97
Packet CNN-RNN,400,0.8811136192626035,0.89,0.88,0.88
Ensemble CNN-RNN,400,0.907900677200903,0.92,0.91,0.91
IAT CNN-RNN,500,0.8073361823361823,0.84,0.81,0.8
Random Forest,500,0.9597578347578347,0.96,0.96,0.96
Baseline RNN,500,0.8828347578347578,0.9,0.88,0.88
Payload CNN-RNN,500,0.8824786324786325,0.9,0.88,0.88
Ensemble RF + CNN-RNN,500,0.9700854700854701,0.97,0.97,0.97
Packet CNN-RNN,500,0.8922720797720798,0.91,0.89,0.89
Ensemble CNN-RNN,500,0.9036680911680912,0.92,0.9,0.9
IAT CNN-RNN,600,0.8049502855933997,0.83,0.8,0.79
Random Forest,600,0.9697482547070023,0.97,0.97,0.97
Baseline RNN,600,0.8787814681616247,0.9,0.88,0.88
Payload CNN-RNN,600,0.8629151681827798,0.88,0.86,0.86
Ensemble RF + CNN-RNN,600,0.9775756293632325,0.98,0.98,0.98
Packet CNN-RNN,600,0.8804738734927015,0.9,0.88,0.87
Ensemble CNN-RNN,600,0.8916860588110852,0.91,0.89,0.89
IAT CNN-RNN,700,0.8243877019280875,0.85,0.82,0.81
Random Forest,700,0.9788952579468473,0.98,0.98,0.98
Baseline RNN,700,0.8712871287128713,0.89,0.87,0.87
Payload CNN-RNN,700,0.9051589369463262,0.92,0.91,0.91
Ensemble RF + CNN-RNN,700,0.9825429911412193,0.98,0.98,0.98
Packet CNN-RNN,700,0.9046378322042731,0.92,0.9,0.9
Ensemble CNN-RNN,700,0.916362688900469,0.93,0.92,0.92
IAT CNN-RNN,800,0.8528610354223434,0.87,0.85,0.85
Random Forest,800,0.9741144414168937,0.97,0.97,0.97
Baseline RNN,800,0.9056539509536785,0.92,0.91,0.9
Payload CNN-RNN,800,0.8971389645776566,0.92,0.9,0.9
Ensemble RF + CNN-RNN,800,0.9782016348773842,0.98,0.98,0.98
Packet CNN-RNN,800,0.8947547683923706,0.91,0.89,0.89
Ensemble CNN-RNN,800,0.9216621253405994,0.94,0.92,0.92
IAT CNN-RNN,900,0.9264957264957265,0.93,0.93,0.93
Random Forest,900,0.9871794871794872,0.99,0.99,0.99
Baseline RNN,900,0.9594017094017094,0.97,0.96,0.96
Payload CNN-RNN,900,0.9628205128205128,0.97,0.96,0.96
Ensemble RF + CNN-RNN,900,0.9935897435897436,0.99,0.99,0.99
Packet CNN-RNN,900,0.9354700854700855,0.94,0.94,0.94
Ensemble CNN-RNN,900,0.9662393162393162,0.97,0.97,0.97
IAT CNN-RNN,1000,0.9363150218765192,0.94,0.94,0.94
Random Forest,1000,0.986387943607195,0.99,0.99,0.99
Baseline RNN,1000,0.9474963539134662,0.95,0.95,0.95
Payload CNN-RNN,1000,0.964025279533301,0.97,0.96,0.96
Ensemble RF + CNN-RNN,1000,0.9941662615459407,0.99,0.99,0.99
Packet CNN-RNN,1000,0.9543023821098687,0.96,0.95,0.95
Ensemble CNN-RNN,1000,0.9742343218279047,0.98,0.97,0.97
Random Forest,1000,0.9883325230918814,0.99,0.99,0.99
Baseline RNN,1000,0.9693728731161886,0.97,0.97,0.97
Packet CNN-RNN w/D,1000,0.9669421487603306,0.97,0.97,0.97
Payload CNN-RNN w/D,1000,0.9708313077297035,0.97,0.97,0.97
IAT CNN-RNN w/D,1000,0.9693728731161886,0.97,0.97,0.97
Ensemble CNN-RNN w/D,1000,0.9805542051531356,0.98,0.98,0.98
Ensemble RF + CNN-RNN w/D,1000,0.9965969859017987,1.0,1.0,1.0
Random Forest,900,0.9880341880341881,0.99,0.99,0.99
Baseline RNN,900,0.9286324786324787,0.93,0.93,0.93
Packet CNN-RNN w/D,900,0.9555555555555556,0.97,0.96,0.96
Payload CNN-RNN w/D,900,0.9581196581196582,0.97,0.96,0.96
IAT CNN-RNN w/D,900,0.9611111111111111,0.96,0.96,0.96
Ensemble CNN-RNN w/D,900,0.9726495726495726,0.98,0.97,0.97
Ensemble RF + CNN-RNN w/D,900,0.994017094017094,0.99,0.99,0.99
Random Forest,800,0.976158038147139,0.98,0.98,0.98
Baseline RNN,800,0.8848773841961853,0.9,0.88,0.88
Packet CNN-RNN w/D,800,0.8920299727520435,0.91,0.89,0.89
Payload CNN-RNN w/D,800,0.9029291553133515,0.92,0.9,0.9
IAT CNN-RNN w/D,800,0.8692098092643051,0.89,0.87,0.87
Ensemble CNN-RNN w/D,800,0.9182561307901907,0.93,0.92,0.92
Ensemble RF + CNN-RNN w/D,800,0.978882833787466,0.98,0.98,0.98
Random Forest,700,0.9682126107347577,0.97,0.97,0.97
Baseline RNN,700,0.8689421573736321,0.88,0.87,0.87
Packet CNN-RNN w/D,700,0.8895257946847316,0.91,0.89,0.89
Payload CNN-RNN w/D,700,0.8939551849921834,0.91,0.89,0.89
IAT CNN-RNN w/D,700,0.8342886920270974,0.85,0.83,0.82
Ensemble CNN-RNN w/D,700,0.8970818134445023,0.92,0.9,0.9
Ensemble RF + CNN-RNN w/D,700,0.9783741532047942,0.98,0.98,0.98
Random Forest,600,0.9669980960440026,0.97,0.97,0.97
Baseline RNN,600,0.8677808335096255,0.88,0.87,0.86
Packet CNN-RNN w/D,600,0.8722233975037021,0.89,0.87,0.87
Payload CNN-RNN w/D,600,0.8927438121430082,0.91,0.89,0.89
IAT CNN-RNN w/D,600,0.7926803469430929,0.79,0.79,0.78
Ensemble CNN-RNN w/D,600,0.9045906494605458,0.92,0.9,0.9
Ensemble RF + CNN-RNN w/D,600,0.9750370213666173,0.98,0.98,0.97
Random Forest,500,0.9601139601139601,0.96,0.96,0.96
Baseline RNN,500,0.875,0.89,0.88,0.87
Packet CNN-RNN w/D,500,0.8714387464387464,0.89,0.87,0.87
Payload CNN-RNN w/D,500,0.8828347578347578,0.9,0.88,0.88
IAT CNN-RNN w/D,500,0.811965811965812,0.82,0.81,0.8
Ensemble CNN-RNN w/D,500,0.8947649572649573,0.92,0.89,0.89
Ensemble RF + CNN-RNN w/D,500,0.9718660968660968,0.97,0.97,0.97
Random Forest,400,0.9580135440180587,0.96,0.96,0.96
Baseline RNN,400,0.8431903686982694,0.86,0.84,0.84
Packet CNN-RNN w/D,400,0.891497366440933,0.91,0.89,0.89
Payload CNN-RNN w/D,400,0.8898419864559819,0.9,0.89,0.89
IAT CNN-RNN w/D,400,0.7953348382242288,0.8,0.8,0.79
Ensemble CNN-RNN w/D,400,0.9103085026335591,0.92,0.91,0.91
Ensemble RF + CNN-RNN w/D,400,0.9744168547780286,0.98,0.97,0.97
Random Forest,300,0.9507631708517972,0.95,0.95,0.95
Baseline RNN,300,0.8340718857705564,0.85,0.83,0.83
Packet CNN-RNN w/D,300,0.8520433284096505,0.87,0.85,0.85
Payload CNN-RNN w/D,300,0.8583210241260463,0.88,0.86,0.86
IAT CNN-RNN w/D,300,0.7460610536681438,0.76,0.75,0.73
Ensemble CNN-RNN w/D,300,0.8902018709995076,0.9,0.89,0.89
Ensemble RF + CNN-RNN w/D,300,0.9656573116691285,0.97,0.97,0.97
Random Forest,200,0.9386206242292002,0.94,0.94,0.94
Baseline RNN,200,0.7983113556588559,0.83,0.8,0.8
Packet CNN-RNN w/D,200,0.8164310786452899,0.85,0.82,0.82
Payload CNN-RNN w/D,200,0.8119722986433925,0.85,0.81,0.81
IAT CNN-RNN w/D,200,0.7282041552034911,0.77,0.73,0.72
Ensemble CNN-RNN w/D,200,0.852480789298928,0.88,0.85,0.85
Ensemble RF + CNN-RNN w/D,200,0.9520918318945072,0.95,0.95,0.95
Random Forest,100,0.9220708446866485,0.92,0.92,0.92
Baseline RNN,100,0.6247956403269754,0.67,0.62,0.62
Packet CNN-RNN w/D,100,0.7657356948228883,0.82,0.77,0.77
Payload CNN-RNN w/D,100,0.7854904632152588,0.83,0.79,0.78
IAT CNN-RNN w/D,100,0.646117166212534,0.68,0.65,0.63
Ensemble CNN-RNN w/D,100,0.8267029972752044,0.86,0.83,0.83
Ensemble RF + CNN-RNN w/D,100,0.935558583106267,0.94,0.94,0.93
IAT CNN-RNN,100,0.626158038147139,0.66,0.63,0.61
Random Forest,100,0.919891008174387,0.92,0.92,0.92
Payload CNN-RNN,100,0.7692098092643052,0.81,0.77,0.77
Ensemble CNN-RNN,100,0.8123978201634877,0.84,0.81,0.81
Packet CNN-RNN,100,0.7536103542234333,0.8,0.75,0.75
Ensemble RF + CNN-RNN,100,0.931267029972752,0.93,0.93,0.93
Baseline RNN,100,0.6927792915531336,0.73,0.69,0.69
IAT CNN-RNN,200,0.7013566075324922,0.73,0.7,0.69
Random Forest,200,0.9386206242292002,0.94,0.94,0.94
Payload CNN-RNN,200,0.8246845650317807,0.86,0.82,0.83
Ensemble CNN-RNN,200,0.862347025898871,0.88,0.86,0.86
Packet CNN-RNN,200,0.8258229769471587,0.85,0.83,0.83
Ensemble RF + CNN-RNN,200,0.9494355374252917,0.95,0.95,0.95
Baseline RNN,200,0.818043828858742,0.85,0.82,0.82
IAT CNN-RNN,300,0.7407680945347119,0.76,0.74,0.73
Random Forest,300,0.9497784342688331,0.95,0.95,0.95
Payload CNN-RNN,300,0.8508124076809453,0.87,0.85,0.85
Ensemble CNN-RNN,300,0.8817085179714427,0.9,0.88,0.88
Packet CNN-RNN,300,0.8516740521910389,0.87,0.85,0.85
Ensemble RF + CNN-RNN,300,0.9622107336287543,0.96,0.96,0.96
Baseline RNN,300,0.8030526834071886,0.84,0.8,0.8
IAT CNN-RNN,400,0.7861550037622272,0.81,0.79,0.78
Random Forest,400,0.9571106094808126,0.96,0.96,0.96
Payload CNN-RNN,400,0.8784048156508654,0.89,0.88,0.88
Ensemble CNN-RNN,400,0.9014296463506396,0.92,0.9,0.9
